PNR,DEP. DATE,TBO,TRIPEUR,LOSS,PERCENTLOSS,PASS/FAIL
SW971O,11-05-2018,5054.55,5230,-175.44999999999982,-3.471129972005417,PASS
UHVTUB,11-05-2018,1987.5,3976,-1988.5,-100.0503144654088,PASS
T6SUPD,11-05-2018,7085.26,7188,-102.73999999999978,-1.450052644504221,PASS
X2BBN4,20-05-2018,5150.86,5313,-162.14000000000033,-3.147823858540134,PASS
A6NH2Q,21-05-2018,5514.77,5775,-260.22999999999956,-4.718782469622478,PASS
SF5330,21-05-2018,60987.2,187524,-126536.8,-207.4809140278616,PASS
Z8JP2L,13-05-2018,9545.84,28845,-19299.16,-202.1735122315061,PASS
RXKFS6,19-05-2018,5023.92,15414,-10390.08,-206.81221038551567,PASS
RCB3GJ,28-07-2018,3154.22,3316,-161.7800000000002,-5.129001781740024,PASS
RD2NQ7,28-07-2018,3869.91,4051,-181.09000000000015,-4.679436989490716,PASS
CFCW7Q,05-08-2018,3128.54,3149,-20.460000000000036,-0.6539791723935138,PASS
WYPYVI,29-05-2018,2664.1,5358,-2693.9,-101.11857663000639,PASS
W1X0LA,29-05-2018,73342.99,75535,-2192.0099999999948,-2.9887109865578085,PASS
FKTZPR,13-06-2018,2129,15393,-13264,-623.0155002348521,PASS
6W2F4S,16-06-2018,11403.46,47200,-35796.54,-313.90946256662454,PASS
I4R5TS,07-06-2018,10428,11723,-1295,-12.41848868431147,PASS
VYDR7Q,02-06-2018,13044.63,45135,-32090.370000000003,-246.00444780725869,PASS
A796B6,25-05-2018,3704.69,3874,-169.30999999999995,-4.57015296826455,PASS
IBLPHP,25-05-2018,4878.6,4891,-12.399999999999636,-0.2541712786455056,PASS
IT15WX,12-05-2018,1686.5,1687,-0.5,-0.029647198339756892,PASS
EVGEHB,12-05-2018,7750.5,7751,-0.5,-0.006451196696987291,PASS
UHYPHA,17-05-2018,3286.62,3406,-119.38000000000011,-3.632303095581482,PASS
SM53HA,17-05-2018,60987.2,65658,-4670.800000000003,-7.658656242621407,PASS
HYN2MS,18-05-2018,2724.68,2844,-119.32000000000016,-4.379229854515032,PASS
LF3FGM,22-05-2018,3563.72,3605,-41.2800000000002,-1.158340161404381,PASS
R9NQVY,30-05-2018,3128.54,3249,-120.46000000000004,-3.8503583141017863,PASS
AC2E7Z,30-05-2018,4057.76,4180,-122.23999999999978,-3.0124995071172216,PASS
8Q3NRE,10-04-2018,80377,80318,59,0.07340408325764833,FAIL
HL08N,20180409,,,,,AVAILABLE ONLY ON TRIPEUR
AJLKEO,20180409,,,,,AVAILABLE ONLY ON TRIPEUR
IWAVCE,20180409,,,,,AVAILABLE ONLY ON TRIPEUR
TGVRAD,20180409,,,,,AVAILABLE ONLY ON TRIPEUR
DNMVR0,20180417,,,,,AVAILABLE ONLY ON TRIPEUR
GMDUGG,20180414,,,,,AVAILABLE ONLY ON TRIPEUR
MYIZMB,20180414,,,,,AVAILABLE ONLY ON TRIPEUR
ASDEW345,20180414,,,,,AVAILABLE ONLY ON TRIPEUR
sdfsd,20180414,,,,,AVAILABLE ONLY ON TRIPEUR
AR564QW,20180414,,,,,AVAILABLE ONLY ON TRIPEUR
AS432A,20180414,,,,,AVAILABLE ONLY ON TRIPEUR
AI143M,20180414,,,,,AVAILABLE ONLY ON TRIPEUR
,20180325,,,,,
,20180326,,,,,
"5KVHF8,",20180422,,,,,AVAILABLE ONLY ON TRIPEUR
WGTNBC,20180422,,,,,AVAILABLE ONLY ON TRIPEUR
,20180322,,,,,
,20180330,,,,,
LEBKPN,20180502,,,,,AVAILABLE ONLY ON TRIPEUR
"PK500K,",20180407,,,,,AVAILABLE ONLY ON TRIPEUR
F765VX,20180420,,,,,AVAILABLE ONLY ON TRIPEUR
"SN4QHI,",20180420,,,,,AVAILABLE ONLY ON TRIPEUR
"SQX6BG,",20180420,,,,,AVAILABLE ONLY ON TRIPEUR
MQNJMI,20180506,,,,,AVAILABLE ONLY ON TRIPEUR
TX3JWE,20180506,,,,,AVAILABLE ONLY ON TRIPEUR
MQNJMI,20180507,,,,,AVAILABLE ONLY ON TRIPEUR
TX3JWE,20180507,,,,,AVAILABLE ONLY ON TRIPEUR
Z67P4,20180404,,,,,AVAILABLE ONLY ON TRIPEUR
LYZGMI,20180605,,,,,AVAILABLE ONLY ON TRIPEUR
ECSZYM,20180411,,,,,AVAILABLE ONLY ON TRIPEUR
OXJNVL,20180411,,,,,AVAILABLE ONLY ON TRIPEUR
